Any,Codi comarca,Comarca,Població,Domèstic xarxa,Activitats econòmiques i fonts pròpies,Total,Consum domèstic per càpita
2014,2,"ALT EMPORDÀ, L'",140214,7981472,4306446,12287918,155.95
2014,3,"ALT PENEDÈS, L'",106262,4164004,2986095,7150099,107.36
2014,4,"ALT URGELL, L'",20878,921501,1145369,2066870,120.92
2014,5,"ALTA RIBAGORÇA, L'",3873,396144,173827,569971,280.23
2014,6,"ANOIA, L'",117842,4605919,5606479,10212398,107.08
2014,7,"BAGES, EL",184403,7403429,8171835,15575264,109.99
2014,8,"BAIX CAMP, EL",190249,9528941,11823864,21352805,137.22
2014,9,"BAIX EBRE, EL",80637,3392294,4497676,7889970,115.26
2014,10,"BAIX EMPORDÀ, EL",132886,9458248,4851859,14310107,195
2014,11,"BAIX LLOBREGAT, EL",806249,30809259,24661483,55470742,104.69
2014,12,"BAIX PENEDÈS, EL",100262,5933565,2506230,8439795,162.14
2014,13,"BARCELONÈS, EL",2227238,82237554,38891563,121129117,101.16
2014,14,"BERGUEDÀ, EL",40039,1393824,796415,2190239,95.37
2014,15,"CERDANYA, LA",18063,1215572,1162875,2378447,184.37
2014,16,"CONCA DE BARBERÀ, LA",20723,798442,458874,1257316,105.56
2014,17,"GARRAF, EL",145886,7590074,2895542,10485616,142.54
2014,18,"GARRIGUES, LES",19762,665180,702801,1367981,92.22
2014,19,"GARROTXA, LA",56036,2066636,3868508,5935143,101.04
2014,20,"GIRONÈS, EL",185085,6841815,9014071,15855886,101.28
2014,21,"MARESME, EL",437919,20012999,9050995,29063994,125.21
2014,22,"MONTSIÀ, EL",69613,2797142,1790537,4587679,110.09
2014,23,"NOGUERA, LA",39376,1660544,1476874,3137418,115.54
2014,24,OSONA,154897,5574220,6796591,12370811,98.59
2014,25,"PALLARS JUSSÀ, EL",13530,752083,192028,944111,152.29
2014,26,"PALLARS SOBIRÀ, EL",7220,537167,585147,1122314,203.84
2014,27,"PLA D'URGELL, EL",37128,1532053,4175290,5707343,113.05
2014,28,"PLA DE L'ESTANY, EL",31554,1251445,1014602,2266047,108.66
2014,29,"PRIORAT, EL",9550,349098,114356,463454,100.15
2014,30,"RIBERA D'EBRE, LA",22925,917038,6453950,7370988,109.59
2014,31,"RIPOLLÈS, EL",25700,993446,1180675,2174121,105.91
2014,32,"SEGARRA, LA",22713,734239,1869849,2604088,89.5
2014,33,"SEGRIÀ, EL",209768,8976024,7125512,16101536,117.23
2014,34,"SELVA, LA",170249,8011628,10255255,18266883,128.93
2014,35,"SOLSONÈS, EL",13497,590638,926171,1516809,119.89
2014,36,"TARRAGONÈS, EL",250306,12751489,38524616,51276105,139.57
2014,37,TERRA ALTA,12119,413746,186439,600185,93.54
2014,38,"URGELL, L'",36526,1396467,907574,2304041,104.75
2014,39,"VAL D'ARAN, LA",9993,1111431,576937,1688368,304.71
2014,40,"VALLÈS OCCIDENTAL, EL",899532,34661542,23275814,57937356,105.57
2014,41,"VALLÈS ORIENTAL, EL",403623,15888994,13615747,29504742,107.85
2013,1,"ALT CAMP, L'",44771,1697473,2674706,4372179,103.88
2013,2,"ALT EMPORDÀ, L'",141351,8179176,4483290,12662466,158.53
2013,3,"ALT PENEDÈS, L'",106242,4202713,3155991,7358704,108.38
2013,4,"ALT URGELL, L'",21128,929937,1151884,2081821,120.59
2013,5,"ALTA RIBAGORÇA, L'",4097,391968,179843,571811,262.11
2013,6,"ANOIA, L'",118467,4730942,5474176,10205118,109.41
2013,7,"BAGES, EL",185718,7472919,7751893,15224812,110.24
2013,8,"BAIX CAMP, EL",193455,9677502,10245698,19923200,137.05
2013,9,"BAIX EBRE, EL",81514,3390997,3728866,7119863,113.97
2013,10,"BAIX EMPORDÀ, EL",133787,9528996,5219551,14748546,195.14
2013,11,"BAIX LLOBREGAT, EL",808644,31227063,24910788,56137851,105.8
2013,12,"BAIX PENEDÈS, EL",101100,6079158,2590907,8670065,164.74
2013,13,"BARCELONÈS, EL",2240437,83674573,38945124,122619697,102.32
2013,14,"BERGUEDÀ, EL",40555,1390862,776472,2167334,93.96
2013,15,"CERDANYA, LA",18630,1336710,1316639,2653349,196.58
2013,16,"CONCA DE BARBERÀ, LA",20992,836155,451880,1288035,109.13
2013,17,"GARRAF, EL",146609,7353811,2546227,9900038,137.42
2013,18,"GARRIGUES, LES",20058,652445,687635,1340080,89.12
2013,19,"GARROTXA, LA",56106,2069654,3860391,5930045,101.06
2013,20,"GIRONÈS, EL",185085,6887295,9276331,16163626,101.95
2013,21,"MARESME, EL",437431,20130855,9240030,29370885,126.08
2013,22,"MONTSIÀ, EL",71577,2697538,1707177,4404715,103.25
2013,23,"NOGUERA, LA",39828,1647118,1170474,2817591,113.3
2013,24,OSONA,155069,5692392,6365183,12057575,100.57
2013,25,"PALLARS JUSSÀ, EL",13607,784788,227831,1012619,158.01
2013,26,"PALLARS SOBIRÀ, EL",7330,517686,517210,1034897,193.49
2013,27,"PLA D'URGELL, EL",37249,1540980,4116246,5657226,113.34
2013,28,"PLA DE L'ESTANY, EL",31325,1256360,1040814,2297174,109.88
2013,29,"PRIORAT, EL",9756,366489,112611,479100,102.92
2013,30,"RIBERA D'EBRE, LA",23477,926323,7955341,8881664,108.1
2013,31,"RIPOLLÈS, EL",25995,1119910,1171390,2291300,118.03
2013,32,"SEGARRA, LA",22971,777167,1711211,2488379,93.44
2013,33,"SEGRIÀ, EL",210141,9066254,7418179,16484433,118.2
2013,34,"SELVA, LA",173128,8017307,9620983,17638290,126.87
2013,35,"SOLSONÈS, EL",13621,601085,788604,1389689,120.9
2013,36,"TARRAGONÈS, EL",251226,12549882,38116024,50665906,136.86
2013,37,TERRA ALTA,12310,431836,216539,648375,96.11
2013,38,"URGELL, L'",36863,1451771,949845,2401616,107.9
2013,39,"VAL D'ARAN, LA",10090,1122614,549732,1672345,304.82
2013,40,"VALLÈS OCCIDENTAL, EL",898921,35124562,23709406,58833968,107.05
2013,41,"VALLÈS ORIENTAL, EL",402989,16018513,13212124,29230637,108.9
2012,1,"ALT CAMP, L'",45299,1794009,2578545,4372554,108.5
2012,2,"ALT EMPORDÀ, L'",141517,8582301,4540324,13122625,166.15
2012,3,"ALT PENEDÈS, L'",106252,4452419,3314181,7766600,114.81
2012,4,"ALT URGELL, L'",21386,973901,1258703,2232604,124.76
2012,5,"ALTA RIBAGORÇA, L'",4235,330192,259940,590132,213.61
2012,6,"ANOIA, L'",118817,4971310,6916080,11887390,114.63
2012,7,"BAGES, EL",186084,7932563,7582740,15515303,116.79
2012,8,"BAIX CAMP, EL",193535,10540527,4394018,14934544,149.21
2012,9,"BAIX EBRE, EL",83125,3700682,4563251,8263933,121.97
2012,10,"BAIX EMPORDÀ, EL",133754,10422549,5390491,15813040,213.49
2012,11,"BAIX LLOBREGAT, EL",806799,32385719,25091638,57477357,109.98
2012,12,"BAIX PENEDÈS, EL",101138,6551468,2440290,8991758,177.47
2012,13,"BARCELONÈS, EL",2254052,86155670,37154412,123310082,104.72
2012,14,"BERGUEDÀ, EL",41202,1459891,1178045,2637936,97.08
2012,15,"CERDANYA, LA",19047,1412019,1894932,3306951,203.11
2012,16,"CONCA DE BARBERÀ, LA",21148,863056,466330,1329386,111.81
2012,17,"GARRAF, EL",147107,7785516,2645568,10431084,145
2012,18,"GARRIGUES, LES",20212,685024,561195,1246219,92.85
2012,19,"GARROTXA, LA",55855,2343497,3737840,6081337,114.95
2012,20,"GIRONÈS, EL",184187,6873505,9548233,16421738,102.24
2012,21,"MARESME, EL",436487,21427948,9270980,30698928,134.5
2012,22,"MONTSIÀ, EL",72121,2820336,1906032,4726368,107.14
2012,23,"NOGUERA, LA",40200,1805873,1552735,3358608,123.07
2012,24,OSONA,154588,6258682,6921381,13180063,110.92
2012,25,"PALLARS JUSSÀ, EL",14113,787315,282936,1070251,152.84
2012,26,"PALLARS SOBIRÀ, EL",7457,529020,657883,1186903,194.36
2012,27,"PLA D'URGELL, EL",37267,1552508,3962969,5515477,114.13
2012,28,"PLA DE L'ESTANY, EL",31463,1443741,1029743,2473483,125.72
2012,29,"PRIORAT, EL",9971,380638,111138,491776,104.59
2012,30,"RIBERA D'EBRE, LA",23867,958837,8135751,9094588,110.07
2012,31,"RIPOLLÈS, EL",26268,1180825,1211295,2392120,123.16
2012,32,"SEGARRA, LA",23365,825951,1662250,2488201,97.69
2012,33,"SEGRIÀ, EL",209965,9425056,7292915,16717971,122.98
2012,34,"SELVA, LA",173518,8924994,10043830,18968824,140.92
2012,35,"SOLSONÈS, EL",13676,640383,492441,1132824,128.29
2012,36,"TARRAGONÈS, EL",251282,13680558,41772215,55452773,149.16
2012,37,TERRA ALTA,12713,441824,225143,666967,95.22
2012,38,"URGELL, L'",36975,1543234,1422857,2966091,114.35
2012,39,"VAL D'ARAN, LA",10056,1112630,731409,1844038,303.13
2012,40,"VALLÈS OCCIDENTAL, EL",898173,36611134,25651000,62262134,111.68
2012,41,"VALLÈS ORIENTAL, EL",402632,17020094,14216816,31236910,115.81
